ID,Company,Location,Sector,Designation,Job Description,Salary
527,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Information Technology and Services",UI Developer,"Front-end developers with 1+ years of experience. We need programmers who enjoy the freedom and chaos of working for a start-up, require little supervision, are logically very strong and love what they do....",No salary provided
528,CloudThat Technologies Pvt Ltd,"Bengaluru Area, India",Computer Software,Sales Associate,"This opening is in our training division, which focuses on conducting regular batches for individual professionals and corporate clients. Key responsibilities include; Handle individual enquiries for public batches. (Web, Calls, email, walkins) Handle corporate enquiries Managing  training calendar Participate in road shows, exhibitions etc occasionally to explore new opportunities Achieve assigne...",No salary provided
529,Winfort,"Bengaluru Area, India","Banking, Financial Services, Management Consulting",VP/ AVP Credit Risk Analytics,"The Analytics team is responsible for developing integrated strategies on risk and marketing, providing business inferences, supporting the modeling \ forecasting needs and management information reporting. The work would primarily involve the use of customer \ operational data and application of statistical tools and techniques. The incumbent candidate needs to have significant experience of deve...",No salary provided
530,improwise,"Bengaluru Area, India",Human Resources,Instructional Designer : Bangalore Based,"Seeking instructional designer: A project is beginning to create a tool kit (Do It Yourself) to aid implementation of people practices at workplace through workshops.  These workshops will help train individuals in people practices such as performance management, succession management.  The resulting documents need to be professionally designed, engaging and effective material. It will include sto...",No salary provided
531,TenTenTen Digital Products Private Limited,"Bengaluru Area, India","Marketing and Advertising, Information Technology and Services",UI Developer,"Front-end developers with 1+ years of experience. We need programmers who enjoy the freedom and chaos of working for a start-up, require little supervision, are logically very strong and love what they do....",No salary provided
532,CloudThat Technologies Pvt Ltd,"Bengaluru Area, India",Computer Software,Sales Associate,"This opening is in our training division, which focuses on conducting regular batches for individual professionals and corporate clients. Key responsibilities include; Handle individual enquiries for public batches. (Web, Calls, email, walkins) Handle corporate enquiries Managing  training calendar Participate in road shows, exhibitions etc occasionally to explore new opportunities Achieve assigne...",No salary provided
533,Teritree Technologies,"Bengaluru Area, India",Computer Software,Software Geek,"We are looking for software developers who are excited to get their hands on building our real time personalization platform using the latest technologies, and working directly with people who are veterans in building large scale platforms. As a software geek at Teritree you will be working on Data Analytics, Web and mobile applications, using Python, Mongo dB, Graph and other big data technologie...",No salary provided
534,Ubona Technologies,"Bengaluru Area, India","Information Technology and Services, Program Development",Software Engineer,"Title Software Engineer ,Location : Bangalore. Experience : 2 to 4 Years   Role Software Engineer will work to build products and tools to enable companies to reach out to customers. Build IVRS engines using the Voice Recognition and Sound Recognition technologies. Build unified communication platforms that can reach customer via E-mail, SMS or Social Media Think of ways to improve existing produc...",No salary provided
535,Etrance Networks,"Bengaluru Area, India","Telecommunications, Design",Lead Hardware Design Engineer,"Etrance Networks is looking out for a Rockstar Hardware Engineer. He or she should have 4-6 years of experience in hardware design and be able to lead a hardware team. Should have prior experience in board-design life-cycle - Component Selection, Schematic Design, ORCAD Capture, Knowledge of PCB Design and Layout verification, PCB Verification and Board Bringup. Prior experience with iMX6 board an...",No salary provided
536,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
537,Teritree Technologies,"Bengaluru Area, India",Computer Software,Software Geek,"We are looking for software developers who are excited to get their hands on building our real time personalization platform using the latest technologies, and working directly with people who are veterans in building large scale platforms. As a software geek at Teritree you will be working on Data Analytics, Web and mobile applications, using Python, Mongo dB, Graph and other big data technologie...",No salary provided
538,Ubona Technologies,"Bengaluru Area, India","Information Technology and Services, Program Development",Software Engineer,"Title Software Engineer ,Location : Bangalore. Experience : 2 to 4 Years   Role Software Engineer will work to build products and tools to enable companies to reach out to customers. Build IVRS engines using the Voice Recognition and Sound Recognition technologies. Build unified communication platforms that can reach customer via E-mail, SMS or Social Media Think of ways to improve existing produc...",No salary provided
539,Etrance Networks,"Bengaluru Area, India","Telecommunications, Design",Lead Hardware Design Engineer,"Etrance Networks is looking out for a Rockstar Hardware Engineer. He or she should have 4-6 years of experience in hardware design and be able to lead a hardware team. Should have prior experience in board-design life-cycle - Component Selection, Schematic Design, ORCAD Capture, Knowledge of PCB Design and Layout verification, PCB Verification and Board Bringup. Prior experience with iMX6 board an...",No salary provided
540,Riptide IO,"Bengaluru Area, India",Computer Software,Javascript Developer,"We are looking for a frontend engineer. This opening is for entry-, mid- and expert- level Javascript developers. If you think you're good at Javascript, please apply! The following are our expectations:  Excellent experience in Javascript; Particularly AngularJS. Good knowledge of other Javascript frameworks like JQuery, Node, Backbone, Ember, etc is definitely a plus! Good knowledge on CSS, less...",No salary provided
541,Wisden India,"Bengaluru Area, India","Internet, Publishing",Server Administrator,Cloud Enablement : 1) Basic On-boarding Infrastructure Monitoring :   1) 24x7 Availability Monitoring    2) Minimum Uptime SLA - 99.9% Backup Management :  1) Backup Automation   2) Backup Frequency - Daily/Twice a Day/Weekly  3) Restore Requests -5/month  4) Backup Retention - 24 months  5) Recovery Drills - Quarterly Incident Management :  1) Response Time - 30 mins/1 Hours  for critical issues...,No salary provided
542,Unspun Consulting Group,"Bengaluru Area, India",Marketing and Advertising,PHP Developer,"Design and program complete solutions from start to end. Creating and maintaining tools &amp; Products for social networking sites. Create and maintain CMS for different projects. Proficiency in Creating E-Commerce Websites. Take ownership of Product development tasks, Design  Testing Client Websites. Help clients &amp; team in solving Technical Problems...",No salary provided
543,NoBroker.in,"Bengaluru Area, India","Internet, Writing and Editing, Online Media",Software Development Engineer II & III,"Responsibilities Build &amp; maintain the backbone of nobroker.in such as search platform, recommendation engine etc. Design backend architecture which is scalable and highly performant Quick prototyping to validate features Builds tools to make day to day life easy for customer support reps Ability to break larger problems into smaller ones and prioritize them Expertise in crafting object oriente...",No salary provided
544,Vertisystem,"Bengaluru Area, India",Information Technology and Services,US Technical Recruiter,"Job Location- MG, Road, Bangalore Job Title- US Technical Recruiter Salary- Depends on Experience We are looking for energetic IT recruiters with 2-4 years experience to be based out of our Bangalore office.Are you hardworking,can work beyond job boards with a never say NO attitude, then please apply.  This person will be working as an individual contributor and will be responsible for end to end...",No salary provided
545,Gravity Consulting Pty Ltd.,"Bengaluru Area, India",Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",No salary provided
546,NoBroker.in,"Bengaluru Area, India","Internet, Writing and Editing, Online Media",Software Development Engineer II & III,"Responsibilities Build &amp; maintain the backbone of nobroker.in such as search platform, recommendation engine etc. Design backend architecture which is scalable and highly performant Quick prototyping to validate features Builds tools to make day to day life easy for customer support reps Ability to break larger problems into smaller ones and prioritize them Expertise in crafting object oriente...",No salary provided
547,Vertisystem,"Bengaluru Area, India",Information Technology and Services,US Technical Recruiter,"Job Location- MG, Road, Bangalore Job Title- US Technical Recruiter Salary- Depends on Experience We are looking for energetic IT recruiters with 2-4 years experience to be based out of our Bangalore office.Are you hardworking,can work beyond job boards with a never say NO attitude, then please apply.  This person will be working as an individual contributor and will be responsible for end to end...",No salary provided
548,Gravity Consulting Pty Ltd.,"Bengaluru Area, India",Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",No salary provided
549,MoEngage Inc.,"Bengaluru Area, India",Computer Software,Full Stack Engineer,"We are looking for kickass Software Developers and Architects who can be part of our small founding team and help us take our web, backend framework and big-data analytics aspects to the next level. We are looking to hire passionate techies/hackers who can write a scalable backend (or) data analytics infrastructure which can handle billions of data points from 1000s of apps in real-time. You will...",No salary provided
550,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,Java Developer,We are looking for core Java programmers with around 2 years of experience who also understand Perl programming. The candidate will be working for a cutting edge semantic technology company which focusses on text analytics technologies such as Natural Language Processing and Machine Learning. The candidate will be responsible for developing core NLP algorithms in Java using existing Perl code. The...,No salary provided
551,MoEngage Inc.,"Bengaluru Area, India",Computer Software,Full Stack Engineer,"We are looking for kickass Software Developers and Architects who can be part of our small founding team and help us take our web, backend framework and big-data analytics aspects to the next level. We are looking to hire passionate techies/hackers who can write a scalable backend (or) data analytics infrastructure which can handle billions of data points from 1000s of apps in real-time. You will...",No salary provided
552,Veda Semantics,"Bengaluru Area, India",Information Technology and Services,Java Developer,We are looking for core Java programmers with around 2 years of experience who also understand Perl programming. The candidate will be working for a cutting edge semantic technology company which focusses on text analytics technologies such as Natural Language Processing and Machine Learning. The candidate will be responsible for developing core NLP algorithms in Java using existing Perl code. The...,No salary provided
553,Creative Factor Integrated Marketing Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Online Content Developer / Lead - Fashion & Lifestyle,"Create, develop and manage content for client’s web and social presence Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all online properties of cl...",No salary provided
554,Timesaverz Dotcom Pvt. Ltd.,"Bengaluru Area, India",Internet,Procurement Coordinator,"Procurement Coordinator - Bangalore As a Procurement Ccordinator you will be responsible for sourcing and managing vendors for various service categories and find more profitable suppliers. You KRAs would be linked to : Develop, lead and execute procurement strategies Track and report key functional metrics to reduce expenses and improve effectiveness Craft negotiation strategies and close deals w...",No salary provided
555,Venturesity,"Bengaluru Area, India",Staffing and Recruiting,Associate - Growth and Expansion,"What you need to do?  Sales + Partnerships + Hustling to create value for us.   What are we looking for?  Patient, Tenacious, and Super organized - it takes time to make an impact.  aspiring rainmaker - nothing less.  What will we bring that helps you grow? Existing relationships that we've nurtured over the years across the world and communities. Having done the above, we will try to mentor you a...",No salary provided
556,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
557,Creative Factor Integrated Marketing Pvt. Ltd.,"Bengaluru Area, India",Marketing and Advertising,Online Content Developer / Lead - Fashion & Lifestyle,"Create, develop and manage content for client’s web and social presence Expand the presence on Social media platforms and improve the quality of content shared Coordinate on client’s online projects  Maintain a consistent look and feel throughout all online assets and properties Working with a cross-departmental team, maintain and develop the master content calendar for all online properties of cl...",No salary provided
558,Timesaverz Dotcom Pvt. Ltd.,"Bengaluru Area, India",Internet,Procurement Coordinator,"Procurement Coordinator - Bangalore As a Procurement Ccordinator you will be responsible for sourcing and managing vendors for various service categories and find more profitable suppliers. You KRAs would be linked to : Develop, lead and execute procurement strategies Track and report key functional metrics to reduce expenses and improve effectiveness Craft negotiation strategies and close deals w...",No salary provided
559,Venturesity,"Bengaluru Area, India",Staffing and Recruiting,Associate - Growth and Expansion,"What you need to do?  Sales + Partnerships + Hustling to create value for us.   What are we looking for?  Patient, Tenacious, and Super organized - it takes time to make an impact.  aspiring rainmaker - nothing less.  What will we bring that helps you grow? Existing relationships that we've nurtured over the years across the world and communities. Having done the above, we will try to mentor you a...",No salary provided
560,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
561,Lakshya Recruitment Solutions Private Limited,"Bengaluru Area, India",Outsourcing/Offshoring,R2R Delivery,This is an opening with one of the Topmost ITES [BIG 6] organization. Location : Bangalore   Roles and Responsibilities   Financial Reporting Responsible for service delivery of the areas assigned Responsible for alignment of processes within the Domain. Strategic planning and growth of the Domain. Act as a focal between the Local Management and the Business Partners. Ensure that the process of MO...,No salary provided
562,The Integrated Penguin,"Bengaluru Area, India","Marketing and Advertising, Information Technology and Services",UI/UX Developer,"TIP is a progressive agency providing a close knit team environment where all members have a great deal of responsibility, autonomy and opportunity to grow.  We are young and growing fast. The right candidate will have the unique opportunity to progress into a senior role as the business grows. You should be able to keep up, grow with us and become THE Developer at TIP.  Position Web Developer (UI...",No salary provided
563,COGXIO.COM,"Bengaluru Area, India","Consumer Services, Internet, Research",UI/UX Designer,"Summary : If you’ve built  mobile products which you believe are on the cutting edge of UI design; if you are fanatical about improving user experience and in doing so making the world a better place; and if you are excited about working on a product where the world is your market, we would love to meet you. Job Description: ? Ability to understand user behavior and identify actionable user insigh...",No salary provided
564,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer - Java - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
565,COGXIO.COM,"Bengaluru Area, India","Consumer Services, Internet, Research",UI/UX Designer,"Summary : If you’ve built  mobile products which you believe are on the cutting edge of UI design; if you are fanatical about improving user experience and in doing so making the world a better place; and if you are excited about working on a product where the world is your market, we would love to meet you. Job Description: ? Ability to understand user behavior and identify actionable user insigh...",No salary provided
566,Crossover.,"Bengaluru Area, India",Computer Software,Crossover Software Engineer - Java - $15/hr,"Ready to make $30,000 USD while working for a fortune 500 company from the comfort of your home? Eager to join a network of the most talented remote workers in the world? If so, this role is for you. Work for Crossover, and you’ll earn the most competitive wages on the market, collaborate with the most skilled teams in your field, and work for the most elite companies in the world. Sound too good...",No salary provided
567,"CISMA consultants Pvt Ltd (A wholly owned subsidiary of Verikwest Systems Inc, USA)","Bengaluru Area, India",Computer Hardware,Software Engineer,We are currently engaged in several development/training projects with large semiconductor houses and Design Automation Software companies. We are looking for senior Software engineers for our clients in Bangalore.  The areas where we are growing: -          Web based automation for EDA flows -          System Infrastructure tools and methodology (regression automation) -          EDA development...,No salary provided
568,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Sr. Content Marketing Associate,"The Opportunity: We are looking for a Senior Content Marketing Associate who will own content planning, creation, and distribution at ZapStitch. In this role, you would produce highly engaging and relevant content to help us drive thought leadership, build our brand, generate leads and grow our subscriber base.  You will be at the core of our  content marketing strategy and will help implement a v...",No salary provided
569,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
570,Instamojo,"Bengaluru Area, India",Internet,Frontend Engineer,"As a Front-End Engineer, your responsibilities will include: Working with designers, product managers to collaboratively own the front-end layer at Instamojo. Building responsive and elegant mobile+desktop web UIs. Architect, develop and maintain front-end libraries....",No salary provided
571,"CISMA consultants Pvt Ltd (A wholly owned subsidiary of Verikwest Systems Inc, USA)","Bengaluru Area, India",Computer Hardware,Software Engineer,We are currently engaged in several development/training projects with large semiconductor houses and Design Automation Software companies. We are looking for senior Software engineers for our clients in Bangalore.  The areas where we are growing: -          Web based automation for EDA flows -          System Infrastructure tools and methodology (regression automation) -          EDA development...,No salary provided
572,ZapStitch,"Bengaluru Area, India","Information Technology and Services, Computer Software",Sr. Content Marketing Associate,"The Opportunity: We are looking for a Senior Content Marketing Associate who will own content planning, creation, and distribution at ZapStitch. In this role, you would produce highly engaging and relevant content to help us drive thought leadership, build our brand, generate leads and grow our subscriber base.  You will be at the core of our  content marketing strategy and will help implement a v...",No salary provided
573,IceCream Labs,"Bengaluru Area, India",Information Technology and Services,Software Engineer,"We are looking for a hands-on full stack software developer who eats, breaths and lives on technology and creates great apps. This is your opportunity to play a leading role in transforming an industry and to create dynamic and exciting new solutions. You will work directly with the founding team, engineers and advisers from around the world to understand market needs, define product features and...",No salary provided
574,Instamojo,"Bengaluru Area, India",Internet,Frontend Engineer,"As a Front-End Engineer, your responsibilities will include: Working with designers, product managers to collaboratively own the front-end layer at Instamojo. Building responsive and elegant mobile+desktop web UIs. Architect, develop and maintain front-end libraries....",No salary provided
575,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
576,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
577,Alike Thoughts InfoSystems,"Bengaluru Area, India","Computer Software, Information Technology and Services",Abinitio Administrator,"""Abinitio Administrator"" 24 x 7 support project Troubleshoot arge database and provide the RCA in a shorter span of time. EME administration/ Creating projects/ Migrating artifacts/ EME migrations/ Managing users/ Key procurement Users  Co-Op Server and Client Connectivity/ ETL  Abinitio tool knowledge - GDE, OC/ Establishing connectivity between EME and GDE...",No salary provided
578,The Better India,"Bengaluru Area, India",Internet,Associate Editor,"Responsibilities: Work with our staff writers and editor to finalise the day’s stories, edit these and publish online Generate new and unique content/story ideas for our staff writers Coordinate with readers on user-submitted stories Undertake writing assigments as and when needed...",No salary provided
579,Alike Thoughts InfoSystems,"Bengaluru Area, India","Computer Software, Information Technology and Services",Abinitio Administrator,"""Abinitio Administrator"" 24 x 7 support project Troubleshoot arge database and provide the RCA in a shorter span of time. EME administration/ Creating projects/ Migrating artifacts/ EME migrations/ Managing users/ Key procurement Users  Co-Op Server and Client Connectivity/ ETL  Abinitio tool knowledge - GDE, OC/ Establishing connectivity between EME and GDE...",No salary provided
580,Theron International,"Bengaluru Area, India",Information Technology and Services,Principle Engineer / Senior Technical Architect – Product Engineering & Innovation,"You are a talented, energetic, and creative Principal Software Engineer with proven architecture, design, implementation and technology leadership skills in web based enterprise grade, high availability and high scalability applications. This highly technical leader will be responsible for the architecture and development of key functional areas of Applications, to ensure the system effectively de...",No salary provided
581,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
582,"Cloud Lending, Inc. (Formerly MFiFlex)","Bengaluru Area, India",Information Technology and Services,Web Developer,"We are looking for a web developer who is experienced in programming web applications - JSP, Ruby, Python, Struts etc   Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards. Deep expertise and hands on experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's. Deep functional knowledge or...",No salary provided
583,Wisden India,"Bengaluru Area, India","Internet, Publishing",Web Developer,"Job Title:  Web Developer / Junior Web Developer Reporting to: Project Manager, Bangalore Context: Wisden India believes that there's still a place for intelligent writing. Ours is a combination of reportage and analysis, concise and hard-hitting. But fine writing is but one part of the package. We are excited by new media, and will be using it extensively, driven by Wisden's brand values. There w...",No salary provided
584,PurpleRain,"Bengaluru Area, India",Internet,Wordpress Developer,"We’re looking for that rare individual with creative instinct to design incredible user experiences as well as the technical front end ability to assist with implementing them.If you’re interested the following we might have a great opportunity for you at PurpleRain. Designing, delivering and measuring better user experiences for some of the fast growing sites. Working closely with a small, proven...",No salary provided
585,SignEasy,"Bengaluru Area, India",Computer Software,Senior Content Marketer,"Reviewed in the App Store, as a “lifesaver” and “well worth it's weight in gold”, SignEasy is an award-winning and Apple featured product. Once customers discover it, they are forever grateful for the tremendous value it brings to their lives. Our content writer and community manager is key for conveying this value in various formats through multiple online channels. We are looking for a dynamic a...",No salary provided
586,Ameri100,"Bengaluru Area, India",Information Technology and Services,Oracle Webcenter Site Developer,Oracle Webcenter Site Developer with 5 - 8 Years experience - Experience in Oracle web center - Sites development and Management. - Strong experience in Java/J2EE - Solid experience in responsive UI and web development - Experience to Oracle weblogic is an added advantage - Strong background in Business analysis - Excellent communication skills...,No salary provided
587,Ameri100,"Bengaluru Area, India",Information Technology and Services,Oracle Webcenter Site Developer,Oracle Webcenter Site Developer with 5 - 8 Years experience - Experience in Oracle web center - Sites development and Management. - Strong experience in Java/J2EE - Solid experience in responsive UI and web development - Experience to Oracle weblogic is an added advantage - Strong background in Business analysis - Excellent communication skills...,No salary provided
588,GrexIt,"Bengaluru Area, India","Marketing and Advertising, Computer Software",SEO Specialist,"You would be responsible for: - Building our SEO and content creation strategy - Working with the content team to get world class content written - Researching the market and competition - Building and executing the strategy for off-site activities and linkbuilding - Generating reports, and keeping track of progress - Working on PPC and display ad campaigns - Expanding our marketing team by hiring...",No salary provided
589,Zephyr,"Bengaluru Area, India",Information Technology and Services,Technical Support Engineer (India),"Point of Contact for CVs / Email ID:Rakshitha - rakshitha@multirecruit.com - 7760432586. Job Title / Designation: Technical Support Engineer (India) Job Description: As Zephyrs Technical Support Engineer, you will use your support and technical background to enable customer success using Zephyrs Test Management solutions. You will provide advanced technical support to customers by solving technica...",No salary provided
590,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
591,Vertisystem,"Bengaluru Area, India",Information Technology and Services,US Technical Recruiter,"Job Location- MG, Road, Bangalore Job Title- US Technical Recruiter Salary- Depends on Experience We are looking for energetic IT recruiters with 2-4 years experience to be based out of our Bangalore office.Are you hardworking,can work beyond job boards with a never say NO attitude, then please apply.  This person will be working as an individual contributor and will be responsible for end to end...",No salary provided
592,Zephyr,"Bengaluru Area, India",Information Technology and Services,Technical Support Engineer (India),"Point of Contact for CVs / Email ID:Rakshitha - rakshitha@multirecruit.com - 7760432586. Job Title / Designation: Technical Support Engineer (India) Job Description: As Zephyrs Technical Support Engineer, you will use your support and technical background to enable customer success using Zephyrs Test Management solutions. You will provide advanced technical support to customers by solving technica...",No salary provided
593,People Realm Recruitment Services Private Limited,"Bengaluru Area, India","Security and Investigations, Commercial Real Estate, Construction",Vice President - Building Security System Specialist,"We are hiring a senior level role for a global MNC based out of Bangalore. My client is in the process of constructing a campus in Bangalore, which is going to be a one of its kind and one of the largest in India. The new campus will be built in accordance to global standards and we are looking for someone who will come in at a VP level who will part of this new campus project from a security syst...",No salary provided
594,Vertisystem,"Bengaluru Area, India",Information Technology and Services,US Technical Recruiter,"Job Location- MG, Road, Bangalore Job Title- US Technical Recruiter Salary- Depends on Experience We are looking for energetic IT recruiters with 2-4 years experience to be based out of our Bangalore office.Are you hardworking,can work beyond job boards with a never say NO attitude, then please apply.  This person will be working as an individual contributor and will be responsible for end to end...",No salary provided
595,QYK,"Bengaluru Area, India",Internet,Associate HR Generalist,"HR Manager will be responsible for maintaining and enhancing the organization's human resources by planning, implementing, and evaluating employee relations and human resources policies, programs, and practices.   Key job responsibilities include, but are not limited to,   Recruitment Scout, acquire and retain talent appropriate for current vacancies Identify and leverage innovative channels for r...",No salary provided
596,Wordplay Content,"Bengaluru Area, India",Internet,Content Writer,"Can you weave magic with your words? Think you can write compelling content that educates readers, drives traffic, and converts leads? Well, we’re looking just for you!   At Wordplay Content, we’re looking for full-time writers who are budding marketers and want to be a part of the digital wave (insatiable curiosity helps too). You'll also need to be versatile enough to hop, skip and jump between...",No salary provided
597,SingleContact,"Bengaluru Area, India",Internet,Web Designer,"SingleContactapp.com is a free website creation software. Our web-based software enables businesses to establish online presence easily and quickly. Currently, SingleContact is hiring a website designer/developer. Below are more details: Principal Responsibilities: Creates new website and webpage designs, with a focus on best in class design. Maintains and modifies existing website designs. Assume...",No salary provided
598,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Embedded Software Engineer,"Evaluating processors &amp; controllers for upcoming products Responsible for adding Battery support to existing and new products. Securing applications on Embedded device Work on IOT nodes and Gateways Prototype products using new chipset Wild card Entry More love would be given to your resume, if you add details about your activities in the following. FOSS &gt; Github, Source forge, … Q&amp;A fo...",No salary provided
599,Gravity Consulting Pty Ltd.,"Bengaluru Area, India",Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",No salary provided
600,HireAtEase Consulting Private Limited,"Bengaluru Area, India","Computer Software, Information Technology and Services",Delivery Head Advanced Analytics (Retail / CPG),Client - Leading Analytcis Service Provider Role: Delivery Head  Location: Bangalore This is an opportunity to be part of a growing Advanced Analytics practice to delivery End-to-End Advanced Analytics solutions to global customers in Retail /CPG domain. JD for Delivery Head: Key responsibilities will include: Provide leadership and manage the delivery organization for overall account portfolio. W...,Competitive
601,SingleContact,"Bengaluru Area, India",Internet,Web Designer,"SingleContactapp.com is a free website creation software. Our web-based software enables businesses to establish online presence easily and quickly. Currently, SingleContact is hiring a website designer/developer. Below are more details: Principal Responsibilities: Creates new website and webpage designs, with a focus on best in class design. Maintains and modifies existing website designs. Assume...",No salary provided
602,Watchy technology pvt ltd.,"Bengaluru Area, India",Computer Hardware,Embedded Software Engineer,"Evaluating processors &amp; controllers for upcoming products Responsible for adding Battery support to existing and new products. Securing applications on Embedded device Work on IOT nodes and Gateways Prototype products using new chipset Wild card Entry More love would be given to your resume, if you add details about your activities in the following. FOSS &gt; Github, Source forge, … Q&amp;A fo...",No salary provided
603,Gravity Consulting Pty Ltd.,"Bengaluru Area, India",Information Technology and Services,INFORMATION & VISUAL DESIGN CONSULTANT,"Candidates applying for this position would be incharge to communicate their designs with the ability to perceive information and represent complex concepts and problems through innovative design thinking and creative visualisation. KEY RESPONSIBILITIES: The responsibilities of this position will differ depending on the project. - You will be in charge of things such as, information modelling, bus...",No salary provided
604,HireAtEase Consulting Private Limited,"Bengaluru Area, India","Computer Software, Information Technology and Services",Delivery Head Advanced Analytics (Retail / CPG),Client - Leading Analytcis Service Provider Role: Delivery Head  Location: Bangalore This is an opportunity to be part of a growing Advanced Analytics practice to delivery End-to-End Advanced Analytics solutions to global customers in Retail /CPG domain. JD for Delivery Head: Key responsibilities will include: Provide leadership and manage the delivery organization for overall account portfolio. W...,Competitive
605,Lakshya Recruitment Solutions Private Limited,"Bengaluru Area, India",Outsourcing/Offshoring,R2R Delivery,This is an opening with one of the Topmost ITES [BIG 6] organization. Location : Bangalore   Roles and Responsibilities   Financial Reporting Responsible for service delivery of the areas assigned Responsible for alignment of processes within the Domain. Strategic planning and growth of the Domain. Act as a focal between the Local Management and the Business Partners. Ensure that the process of MO...,No salary provided
606,Lakshya Recruitment Solutions Private Limited,"Bengaluru Area, India",Outsourcing/Offshoring,R2R Delivery,This is an opening with one of the Topmost ITES [BIG 6] organization. Location : Bangalore   Roles and Responsibilities   Financial Reporting Responsible for service delivery of the areas assigned Responsible for alignment of processes within the Domain. Strategic planning and growth of the Domain. Act as a focal between the Local Management and the Business Partners. Ensure that the process of MO...,No salary provided
